KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K14986	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K15011	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K15850	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K17060	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18072	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18143	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18345	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18350	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18351	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18940	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K18986	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19077	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19081	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19609	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19616	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19621	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19661	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19690	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19691	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K19692	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K20263	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K20339	2.7.13.3
K07769	1	Prochlorococcus	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K20487	2.7.13.3
